"Ruta";"Exit";"Continue";"With";"Anchas";"Tabuladores"
"src\Modals\inMtoModalCalcularMargen.pas";"7";"0";"0";"0";"0"
"src\Modals\inMtoModalCrearAlbaranSesion.pas";"4";"0";"0";"1";"0"
"src\Modals\inMtoModalDistribuidor.pas";"3";"5";"6";"0";"0"
"src\Modals\inMtoModalDocsCreados.pas";"3";"0";"4";"0";"0"
"src\Modals\inMtoModalEntradaCambio.pas";"3";"0";"0";"0";"0"
"src\Modals\inMtoModalEtiqAlb.pas";"1";"0";"0";"5";"0"
"src\Modals\inMtoModalEtiqArt.pas";"1";"0";"0";"11";"0"
"src\Modals\inMtoModalEtiqDev.pas";"1";"0";"0";"7";"0"
"src\Modals\inMtoModalEtiqPed.pas";"1";"0";"0";"1";"0"
"src\Modals\inMtoModalFacRec.pas";"0";"0";"4";"0";"0"
"src\Modals\inMtoModalFacturarAlbaranes.pas";"1";"0";"0";"1";"0"
"src\Modals\inMtoModalFacturarAlbaranesFechas.pas";"2";"1";"0";"1";"0"
"src\Modals\inMtoModalFiltroArt.pas";"1";"0";"0";"0";"0"
"src\Modals\inMtoModalGenerarSKUs.pas";"17";"0";"0";"2";"0"
"src\Modals\inMtoModalGenImp.pas";"8";"8";"2";"0";"0"
"src\Modals\inMtoModalGenImpSave.pas";"0";"0";"1";"0";"0"
"src\Modals\inMtoModalGestionFiltros.pas";"0";"0";"0";"1";"0"
"src\Modals\inMtoModalGridGuias.pas";"1";"0";"0";"0";"0"
"src\Modals\inMtoModalGuiasBase.pas";"7";"0";"0";"0";"0"
"src\Modals\inMtoModalImpAlbCompra.pas";"2";"0";"0";"0";"0"
"src\Modals\inMtoModalImpAlbCompraV.pas";"2";"0";"0";"0";"0"
"src\Modals\inMtoModalImpBalanceSinTallas.pas";"0";"0";"1";"0";"0"
"src\Modals\inMtoModalImpBalanceTallas.pas";"0";"0";"1";"0";"0"
"src\Modals\inMtoModalImpDevCompra.pas";"2";"0";"0";"2";"0"
"src\Modals\inMtoModalImpDevCompraV.pas";"2";"0";"0";"2";"0"
"src\Modals\inMtoModalImpDocsProveedor.pas";"0";"0";"1";"0";"0"
"src\Modals\inMtoModalImpEfectosPago.pas";"0";"0";"1";"1";"0"
"src\Modals\inMtoModalImpFac.pas";"0";"0";"6";"1";"0"
"src\Modals\inMtoModalImpMovVentasArt.pas";"0";"0";"1";"1";"0"
"src\Modals\inMtoModalImpMultiFiltro.pas";"0";"0";"0";"3";"0"
"src\Modals\inMtoModalImportarPedidosPS.pas";"1";"2";"0";"0";"0"
"src\Modals\inMtoModalImpRecFac.pas";"0";"0";"3";"0";"0"
"src\Modals\inMtoModalImpSesion.pas";"2";"0";"0";"0";"0"
"src\Modals\inMtoModalInformesGuias.pas";"3";"2";"0";"0";"0"
"src\Modals\inMtoModalSelAlmacenPedido.pas";"3";"0";"1";"0";"0"
"src\Modals\inMtoModalSelFamilia.pas";"1";"0";"0";"0";"0"
"src\Modals\inMtoModalSepaRemesaVenta.pas";"0";"0";"0";"1";"0"
"src\Modals\inMtoModalSesionMaterializar.pas";"0";"0";"0";"2";"0"
"src\Modals\inMtoModalWizardEditar.pas";"23";"3";"0";"1";"0"
"src\verifactu\inLibVerifactuEnvio.pas";"0";"0";"0";"1";"0"
"src\verifactu\UniDataVerifactuColaResultados.pas";"0";"0";"0";"4";"0"
