OldName;NewName
CPOSTAL_EMPRESA_FACTURA;CODIGO_POSTAL_EMPRESA_FAC
ESRETENCIONES_EMPRESA_FACTURA;ESRETENCIONES_EMPRESA_FAC
GRUPO_ZONA_IVA_EMPRESA_FACTURA;GRUPO_ZONA_IVA_EMPRESA_FAC
ESREGIMENESPECIALAGRICOLA_EMPRESA_FACTURA;ESREGIMENESPECIALAGRICOLA_EMPRESA_FAC
CODIGO_CLIENTE_FACTURA;CODIGO_CLI_FAC
RAZONSOCIAL_CLIENTE_FACTURA;RAZON_SOCIAL_CLIENTE_FAC
NIF_CLIENTE_FACTURA;NIF_CLIENTE_FAC
MOVIL_CLIENTE_FACTURA;MOVIL_CLIENTE_FAC
EMAIL_CLIENTE_FACTURA;EMAIL_CLIENTE_FAC
POBLACION_CLIENTE_FACTURA;POBLACION_CLIENTE_FAC
PROVINCIA_CLIENTE_FACTURA;PROVINCIA_CLIENTE_FAC
CPOSTAL_CLIENTE_FACTURA;CODIGO_POSTAL_CLIENTE_FAC
CODIGO_PAIS_CLIENTE_FACTURA;CODIGO_PAI_CLIENTE_FAC
NOMBRE_PAIS_CLIENTE_FACTURA;NOMBRE_PAI_CLIENTE_FAC
CODIGO_IVA_FACTURA;CODIGO_IVA_FAC
ESIVA_RECARGO_CLIENTE_FACTURA;ESIVA_RECARGO_CLIENTE_FAC
ESIVA_EXENTO_CLIENTE_FACTURA;ESIVA_EXENTO_CLIENTE_FAC
ESREGIMENESPECIALAGRICOLA_CLIENTE_FACTURA;ESREGIMENESPECIALAGRICOLA_CLIENTE_FAC
ESRETENCIONES_CLIENTE_FACTURA;ESRETENCIONES_CLIENTE_FAC
TARIFA_ARTICULO_CLIENTE_FACTURA;TARIFA_ARTICULO_CLIENTE_FAC
ESIMP_INCL_TARIFA_CLIENTE_FACTURA;ESIMP_INCL_TARIFA_CLIENTE_FAC
ESINTRACOMUNITARIO_CLIENTE_FACTURA;ESINTRACOMUNITARIO_CLIENTE_FAC
ESIRPF_IMP_INCL_ZONA_IVA_FACTURA;ESIRPF_IMP_INCL_ZONA_IVA_FAC
ESAPLICA_RE_ZONA_IVA_FACTURA;ESAPLICA_RE_ZONA_IVA_FAC
ESIVAAGRICOLA_ZONA_IVA_FACTURA;ESIVAAGRICOLA_ZONA_IVA_FAC
PALABRA_REPORTS_ZONA_IVA_FACTURA;PALABRA_REPORTS_ZONA_IVA_FAC
ESVENTA_ACTIVO_FIJO_FACTURA;ESVENTA_ACTIVO_FIJO_FAC
PORCEN_IVAN_FACTURA;PORCENTAJE_IVAN_FAC
TOTAL_IVAN_FACTURA;TOTAL_IVAN_FAC
